BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
312,274,16.4,487,268
311,273,16.4,487,268
310,271,16.4,487,267
311,271,16.4,487,266
311,269,16.4,487,264
311,268,16.4,487,262
311,267,16.4,487,259
310,268,16.4,486,257
309,269,16.4,485,256
308,269,16.4,484,254
308,269,16.4,484,253
308,269,16.8,484,252
308,269,16.8,483,252
306,268,16.8,482,251
306,269,16.8,481,251
306,269,16.8,481,251
306,269,16.8,482,252
306,270,16.8,482,252
308,271,16.8,483,252
308,270,16.8,483,251
308,270,16.8,483,252
308,271,16.8,484,252
308,271,16.8,484,252
309,271,16.8,484,252
309,271,16.8,484,252
309,271,16.8,484,252
309,271,16.8,484,252
309,271,16.2,484,252
309,272,16.2,485,252
310,272,16.2,485,252
310,272,16.2,485,252
310,271,16.2,485,252
310,271,16.2,485,252
310,272,16.2,486,252
310,272,16.2,486,252
310,272,16.2,486,253
310,272,16.2,486,252
310,272,16.2,486,252
310,271,16.2,486,252
310,271,16.2,486,252
311,272,16.2,486,252
311,272,16.2,486,252
311,271,16.2,486,252
311,272,16.2,486,252
311,271,16.8,486,252
311,271,16.8,486,252
310,271,16.8,486,252
311,272,16.8,486,252
311,272,16.8,486,252
310,271,16.8,486,252
311,271,16.8,486,252
310,271,16.8,486,252
310,271,16.8,486,252
311,272,16.8,486,252
311,271,16.8,486,252
310,271,16.8,486,252
310,271,16.8,486,252
310,271,16.8,486,252
310,271,16.8,486,252
310,271,16.8,486,252
310,271,16.9,486,252
310,272,16.9,486,252
311,272,16.9,486,252
310,271,16.9,486,252
311,271,16.9,486,252
310,271,16.9,486,252
310,271,16.9,486,252
310,271,16.9,486,252
310,271,16.9,486,252
310,271,16.9,486,252
310,271,16.9,486,252
310,272,16.9,486,252
310,272,16.9,486,252
310,271,16.9,486,252
310,271,16.9,486,251
310,271,16.9,486,251
310,271,16.9,486,251
310,271,16.9,486,251
310,272,16.9,486,252
310,271,16.9,486,251
311,271,16.9,486,251
310,271,16.9,486,251
311,271,16.9,486,251
311,271,16.9,486,251
310,271,16.9,486,251
310,271,16.9,485,251
310,271,16.9,485,251
310,271,16.9,485,251
310,271,16.9,485,251
310,271,16.9,485,251
310,271,16.9,485,251
310,272,16.9,485,251
310,272,16.9,485,251
310,271,16.9,485,251
310,271,16.8,485,251
310,272,16.8,485,251
310,271,16.8,485,251
310,271,16.8,485,251
310,271,16.8,485,251
310,271,16.8,485,251
310,271,16.8,485,250
310,271,16.8,485,251
310,271,16.8,485,250
310,271,16.8,485,251
310,271,16.8,485,250
310,271,16.8,485,250
310,271,16.8,485,251
310,271,16.8,485,251
311,271,16.8,485,250
310,271,16.8,486,251
311,271,16.8,486,250
311,272,16.8,486,250
312,271,16.8,486,250
312,272,16.8,486,250
